id;"Volg nr.";ID-ON;"SR- Schadenr";"Datum Opname";"Status Schade";Proces;"Status proces";Opmerking1;Bron;"Datum Schouw";Weg;Baan;DVK;Strook;"Hm van";"Tot Hm";"Verl.
Aanw";"Sign.
aanw";"IVON Plan";"Risico klasse";"Ernst klasse";Schadebeeld;"Aantal (stuks)
gaten/ scheuren";"Lengte in m";"Breedte in m";"Opper vlakte in m2";"Huidige deklaag";Lussen;Onderzoek;"Datum Garantie tot1";"Unieke Garantie Code";"Naam Garantiegever";Opmerking2;"Type inzet";"Advies aanpak";Foto's;Schets;"Plan Datum";Opm.;Offertenr.;"Datum Mail Akkoord";Opdrachtnr.;"Opdracht Datum";"Kosten Indicatie";Opmerking3;"Datum Uitvoering";"Type Asfalt";"Datum Garantie tot2";Opmerking4;"Afl. dossier nr.";Volgnr.;"Def. Bedrag";"Datum Ontvangst RWS";"Datum Techn. Akkoord";"Datum Fin. Akkoord";"Datum Akkoord CM";"Datum PV";Opmerking5
25;25;30;30;;;;;23-7-2018;23-7-2018;Open;Open;LVO;LVO;Plan;Plan;"melding 180723-000219";"melding 180723-000219";800;800;24-7-2018;24-7-2018;A28;A28;HRL;HRL;;;3R-L;3R-L;113,5;113,5;113,5;113,5;Nee;Nee;Ja;Ja;;;;;3;3;"Verzakking en dwarsscheuren";"Verzakking en dwarsscheuren";2;2;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;RB;RB;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;26;31;31;C-226;C-226;;;24-7-2018;24-7-2018;Open;Open;LVO;LVO;Plan;Plan;;;WIS;WIS;24-7-2018;24-7-2018;A28;A28;VW;VW;p;p;1R-R;1R-R;101,4;101,4;101,4;101,4;Nee;Nee;Ja;Ja;;;;;3;3;"Diverse gaten";"Diverse gaten";>5;>5;;;;;;;SMA;SMA;;;;;;;;;;;;;BB;BB;;;Ja;Ja;Ja;Ja;;;;;UP-001;UP-001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;27;32;32;C-239;C-239;;;26-7-2018;26-7-2018;Veilig;Veilig;Vervolg;Vervolg;Plan;Plan;;;WIS;WIS;26-7-2018;26-7-2018;A28;A28;HRL;HRL;;;VAR;VAR;113,6;113,6;113,6;113,6;Ja;Ja;Ja;Ja;;;;;3;3;"Diverse gaten";"Diverse gaten";1;1;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;HB;HB;12;12;Ja;Ja;;;27-11-2018;27-11-2018;;;HB-002;HB-002;4-10-2018;4-10-2018;HB-002;HB-002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;28;33;33;C-240;C-240;;;26-7-2018;26-7-2018;Open;Open;Garantie;Garantie;Hold;Hold;;;WIS;WIS;26-7-2018;26-7-2018;A28;A28;HRL;HRL;;;"3R-L; 1W-L";"3R-L; 1W-L";95,4;95,4;95,4;95,4;Ja;Ja;Ja;Ja;;;;;2;2;Krassen;Krassen;2;2;;;;;;;ZOABTW;ZOABTW;;;;;1-12-2021;1-12-2021;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;29;34;34;C-270;C-270;;;7-8-2018;7-8-2018;Open;Open;LVO;LVO;Hold;Hold;"UP-004 on hold gezet door OG";"UP-004 on hold gezet door OG";WIS;WIS;7-8-2018;7-8-2018;A1;A1;HRR;HRR;;;"VL-R; 3R-R";"VL-R; 3R-R";90,3;90,3;90,3;90,3;Ja;Ja;Ja;Ja;;;;;3;3;Gat;Gat;1;1;;;;;;;ZOABTW;ZOABTW;Ja;Ja;;;;;;;;;;;BB;BB;"In UP-004, locatie 2";"In UP-004, locatie 2";Ja;Ja;Ja;Ja;;;;;UP-004;UP-004;;;;;;;;;"Locatie 2";"Locatie 2";;;;;;;;;;;;;;;;;;;;;;;;;;
30;30;35;35;;;;;29-7-2018;29-7-2018;Open;Open;Monitoren;Monitoren;Hold;Hold;"melding 180814-001367";"melding 180814-001367";800;800;29-7-2018;29-7-2018;A1;A1;HRR;HRR;;;1R-R;1R-R;98,5;98,5;98,5;98,5;Ja;Ja;Ja;Ja;;;;;2;2;Verzakking;Verzakking;;;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;31;37;37;;;;;29-8-2018;29-8-2018;Open;Open;;;Bespreken;Bespreken;;;WIS;WIS;29-8-2018;29-8-2018;A32;A32;HRL;HRL;d;d;1R-L;1R-L;13;13;13;13;Ja;Ja;Nee;Nee;;;;;3;3;Gat;Gat;1;1;;;;;;;SMA;SMA;;;;;;;;;;;;;BB;BB;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;32;38;38;C-313;C-313;7500095967;7500095967;19-8-2018;19-8-2018;Open;Open;Vervolg;Vervolg;Plan;Plan;;;WIS;WIS;19-8-2018;19-8-2018;A50;A50;HRL;HRL;;;VL-L;VL-L;222,2;222,2;222,2;222,2;Ja;Ja;Nee;Nee;;;;;3;3;Brandschade;Brandschade;;;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;RB;RB;;;Ja;Ja;;;;;;;;;;;;;;;;;C-313_7500095967;C-313_7500095967;;;;;;;;;;;;;;;;;;;;;;;;;;
33;33;39;39;C-325;C-325;;;22-8-2018;22-8-2018;Open;Open;Calamiteit;Calamiteit;Hold;Hold;;;WIS;WIS;22-8-2018;22-8-2018;A1;A1;HRL;HRL;;;"1R-L; 2R-L";"1R-L; 2R-L";55,7;55,7;55,7;55,7;Nee;Nee;Nee;Nee;;;;;2;2;Krassen;Krassen;1;1;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;34;40;40;C-327;C-327;;;24-8-2018;24-8-2018;Open;Open;;;Bespreken;Bespreken;;;WIS;WIS;24-8-2018;24-8-2018;N50;N50;HRM;HRM;;;1R-R/L;1R-R/L;250,5;250,5;250,5;250,5;Nee;Nee;Nee;Nee;;;;;3;3;Gaten;Gaten;2;2;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;RB;RB;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;35;41;41;C-328;C-328;;;24-8-2018;24-8-2018;Open;Open;;;Bespreken;Bespreken;;;WIS;WIS;24-8-2018;24-8-2018;A1;A1;HRR;HRR;;;3R-R;3R-R;89,9;89,9;89,9;89,9;Ja;Ja;Ja;Ja;;;;;3;3;Gaten;Gaten;1;1;;;;;;;ZOABTW;ZOABTW;;;;;;;;;;;;;RB;RB;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;36;42;42;C-331;C-331;;;27-8-2018;27-8-2018;Veilig;Veilig;Calamiteit;Calamiteit;Gereed;Gereed;;;WIS;WIS;27-8-2018;27-8-2018;A28;A28;HRL;HRL;;;3R-L;3R-L;93,5;93,5;93,5;93,5;Ja;Ja;Ja;Ja;;;;;3;3;Gaten;Gaten;1;1;;;;;;;ZOABTW;ZOABTW;;;;;;;;;;;;;BB;BB;;;Ja;Ja;;;;;;;;;;;;;;;;;Voegovergang;Voegovergang;;;;;;;;;;;;;;;;;;;;;;;;;;
37;37;43;43;U123S180820103147;U123S180820103147;7500094140;7500094140;20-8-2018;20-8-2018;Open;Open;SR;SR;Plan;Plan;;;ON;ON;20-8-2018;20-8-2018;A1;A1;HRR;HRR;;;VL-R;VL-R;80,2;80,2;80,2;80,2;Nee;Nee;Nee;Nee;;;;;2;2;Brandschade;Brandschade;;;;;;;;;DAB;DAB;;;;;;;;;;;;;RB;RB;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;38;44;44;;;;;6-9-2018;6-9-2018;Veilig;Veilig;Spoed;Spoed;Plan;Plan;;;WIS;WIS;6-9-2018;6-9-2018;A28;A28;HRL;HRL;;;1R-L;1R-L;50,1;50,1;50,1;50,1;Nee;Nee;Nee;Nee;;;;;3;3;"Gat en rafeling";"Gat en rafeling";1;1;;;;;;;ZSA;ZSA;;;;;;;;;;;;;HB;HB;9;9;Ja;Ja;;;28-11-2018;28-11-2018;;;HB-001;HB-001;4-10-2018;4-10-2018;HB-001;HB-001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;39;45;45;;;;;21-9-2018;21-9-2018;Open;Open;Monitoren;Monitoren;Hold;Hold;"Melding 180820-000001.1";"Melding 180820-000001.1";800;800;21-9-2018;21-9-2018;A28;A28;HRL;HRL;;;2R-L;2R-L;51,11;51,11;51,11;51,11;Nee;Nee;Nee;Nee;;;;;2;2;Scheuren;Scheuren;1;1;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;MON;MON;" tot GO 2019";" tot GO 2019";Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;40;46;46;;;;;21-9-2018;21-9-2018;Open;Open;Monitoren;Monitoren;Hold;Hold;"Melding 180820-000001.1";"Melding 180820-000001.1";800;800;21-9-2018;21-9-2018;A28;A28;HRL;HRL;;;ALL;ALL;51,15;51,15;51,15;51,15;Nee;Nee;Nee;Nee;;;;;3;3;Dwarsscheur;Dwarsscheur;1;1;;;;;;;ZOAB;ZOAB;;;;;30-4-2019;30-4-2019;;;;;Vluchtstrook;Vluchtstrook;MON;MON;" tot GO 2019";" tot GO 2019";Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;41;47;47;;;;;21-9-2018;21-9-2018;Veilig;Veilig;Spoed;Spoed;Plan;Plan;"Melding 180820-000001.1";"Melding 180820-000001.1";800;800;21-9-2018;21-9-2018;A28;A28;HRL;HRL;;;1R-L;1R-L;51,14;51,14;51,14;51,14;Nee;Nee;Nee;Nee;;;;;3;3;Gat;Gat;1;1;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;HB;HB;9;9;Ja;Ja;;;28-11-2018;28-11-2018;;;HB-001;HB-001;4-10-2018;4-10-2018;HB-001;HB-001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;42;48;48;;;;;21-9-2018;21-9-2018;Veilig;Veilig;Spoed;Spoed;Plan;Plan;"Melding 180820-000001.1";"Melding 180820-000001.1";800;800;21-9-2018;21-9-2018;A28;A28;HRL;HRL;;;2R-L;2R-L;51,07;51,07;51,07;51,07;Nee;Nee;Nee;Nee;;;;;3;3;"Langsscheur / craquel?";"Langsscheur / craquel?";1;1;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;HB;HB;9;9;Ja;Ja;;;28-11-2018;28-11-2018;;;HB-005;HB-005;15-11-2018;15-11-2018;HB-005;HB-005;;;"? 10.900,00";"? 10.900,00";;;;;;;;;;;;;;;;;;;;;;;;;;;;
